run_id,trade_index,source,ticket,module,type,open,close,lots,openPrice,closePrice,pl,equity,return_pct,peak_return_pct,dyn_peak_pct,campaign_score,checkpoint_hit,state
a176a2de3df2,7,all_closed,7,MOMENTUM,SELL,2022.05.13 17:00,2022.05.13 17:08,0.92,1806.35,1816.89,-712.86,70921.67,1.32,2.34,2.34,5,false,ACTIVE_CHALLENGE
a176a2de3df2,8,all_closed,8,MOMENTUM,SELL,2022.06.10 15:00,2022.06.10 15:39,1.66,1834.97,1840.76,-708.02,70213.65,0.31,3.00,3.00,5,false,ACTIVE_CHALLENGE
83aebd677a7f,1,all_closed,1,MOMENTUM,SELL,2022.07.01 11:00,2022.07.01 17:15,1.36,1794.81,1801.82,-701.70,69298.30,-1.00,1.45,1.45,5,false,ACTIVE_CHALLENGE
83aebd677a7f,2,all_closed,2,PULLBACK,SELL,2022.07.01 20:00,2022.07.01 21:48,0.24,1799.38,1809.21,-173.46,69124.84,-1.25,1.45,1.45,4,false,ACTIVE_CHALLENGE
83aebd677a7f,3,all_closed,3,PULLBACK,SELL,2022.07.05 14:00,2022.07.05 16:36,1.95,1801.24,1791.57,1379.31,70504.15,0.72,1.45,1.45,4,false,ACTIVE_CHALLENGE
83aebd677a7f,4,all_closed,4,MOMENTUM,SELL,2022.07.05 18:00,2022.07.06 17:57,0.81,1767.65,1746.36,1260.06,71764.21,2.52,2.52,2.52,5,false,ACTIVE_CHALLENGE
83aebd677a7f,5,all_closed,5,MOMENTUM,SELL,2022.07.06 18:00,2022.07.13 15:30,0.79,1743.72,1721.52,1263.01,73027.22,4.32,4.32,4.32,2,false,ACTIVE_CHALLENGE
83aebd677a7f,6,all_closed,6,PULLBACK,SELL,2022.07.14 10:00,2022.07.14 16:01,1.44,1721.15,1707.34,1455.91,74483.13,6.40,6.40,6.40,5,true,PROTECTING_PROFIT
83aebd677a7f,7,all_closed,7,MOMENTUM,SELL,2022.07.14 17:00,2022.07.14 18:50,0.87,1702.62,1714.21,-741.02,73742.11,5.35,6.81,6.81,5,true,PROTECTING_PROFIT
83aebd677a7f,8,all_closed,8,MOMENTUM,SELL,2022.07.21 12:00,2022.07.21 15:23,1.34,1685.15,1692.61,-735.45,73006.66,4.30,6.81,6.81,5,true,PROTECTING_PROFIT
83aebd677a7f,9,all_closed,9,PULLBACK,BUY,2022.08.09 11:00,2022.08.09 16:05,2.27,1787.22,1795.99,1455.86,74462.52,6.38,6.81,6.81,5,true,PROTECTING_PROFIT
