date,event,event_utc,pos_pct_52w,bucket,bar0_range_atr,bar0_dir,combined_range_atr,combined_dir,combined_signed_atr
2024-07-31,FOMC,2024-07-31T18:00:00,21.2,NEUTRAL,1.8,-1,1.8,1,0.061
2024-08-02,NFP,2024-08-02T12:30:00,21.2,NEUTRAL,3.824,1,3.824,1,3.197
2024-08-14,CPI,2024-08-14T12:30:00,25.0,NEUTRAL,2.292,1,2.292,-1,-0.515
2024-09-06,NFP,2024-09-06T12:30:00,75.0,NEUTRAL,3.836,-1,3.836,-1,-0.791
2024-09-11,CPI,2024-09-11T12:30:00,57.7,NEUTRAL,2.231,-1,2.231,-1,-1.237
2024-09-18,FOMC,2024-09-18T18:00:00,55.8,NEUTRAL,4.581,-1,4.581,-1,-0.089
2024-10-04,NFP,2024-10-04T12:30:00,44.2,NEUTRAL,3.287,-1,3.437,-1,-2.331
2024-10-10,CPI,2024-10-10T12:30:00,34.6,NEUTRAL,2.68,-1,3.191,1,0.195
2024-11-01,NFP,2024-11-01T12:30:00,1.9,CROWDED_SHORT,2.393,-1,2.933,-1,-1.317
2024-11-07,FOMC,2024-11-07T19:00:00,5.8,CROWDED_SHORT,1.099,-1,1.099,-1,-0.355
2024-11-13,CPI,2024-11-13T13:30:00,13.5,CROWDED_SHORT,3.25,-1,3.25,-1,-2.385
2024-12-06,NFP,2024-12-06T13:30:00,1.9,CROWDED_SHORT,2.679,-1,2.736,-1,-1.019
2024-12-11,CPI,2024-12-11T13:30:00,1.9,CROWDED_SHORT,1.886,-1,1.886,-1,-0.403
2024-12-18,FOMC,2024-12-18T19:00:00,1.9,CROWDED_SHORT,4.527,-1,5.639,-1,-4.675
2025-01-03,NFP,2025-01-03T13:30:00,3.8,CROWDED_SHORT,1.068,-1,1.077,1,0.13
2025-01-15,CPI,2025-01-15T13:30:00,11.5,CROWDED_SHORT,1.824,1,2.853,-1,-0.231
2025-01-29,FOMC,2025-01-29T19:00:00,7.7,CROWDED_SHORT,1.363,-1,1.363,1,0.175
