date,event,event_utc,pos_pct_52w,bucket,bar0_range_atr,bar0_dir,combined_range_atr,combined_dir,combined_signed_atr
2023-11-14,CPI,2023-11-14T13:30:00,80.8,CROWDED_LONG,4.192,-1,5.51,-1,-5.416
2023-12-01,NFP,2023-12-01T13:30:00,86.5,CROWDED_LONG,1.652,-1,2.763,-1,-2.103
2023-12-12,CPI,2023-12-12T13:30:00,71.2,NEUTRAL,1.305,1,1.305,1,0.491
2023-12-13,FOMC,2023-12-13T19:00:00,21.2,NEUTRAL,3.892,-1,5.175,-1,-3.843
2024-01-05,NFP,2024-01-05T13:30:00,17.3,CROWDED_SHORT,3.429,-1,3.429,-1,-0.962
2024-01-11,CPI,2024-01-11T13:30:00,11.5,CROWDED_SHORT,2.756,1,2.756,1,0.175
2024-01-31,FOMC,2024-01-31T19:00:00,32.7,NEUTRAL,1.942,1,3.226,1,1.855
2024-02-02,NFP,2024-02-02T13:30:00,32.7,NEUTRAL,2.877,1,3.255,1,2.822
2024-02-13,CPI,2024-02-13T13:30:00,28.8,NEUTRAL,4.298,1,5.17,1,4.694
2024-03-01,NFP,2024-03-01T13:30:00,88.5,CROWDED_LONG,1.706,-1,1.795,-1,-0.735
2024-03-12,CPI,2024-03-12T12:30:00,50.0,NEUTRAL,2.181,1,2.181,1,0.474
2024-03-20,FOMC,2024-03-20T18:00:00,61.5,NEUTRAL,2.599,-1,2.702,-1,-2.41
2024-04-05,NFP,2024-04-05T12:30:00,94.2,CROWDED_LONG,2.05,1,2.05,1,1.171
2024-04-10,CPI,2024-04-10T12:30:00,98.1,CROWDED_LONG,5.888,1,6.092,1,5.629
2024-05-01,FOMC,2024-05-01T18:00:00,96.2,CROWDED_LONG,0.868,-1,5.438,-1,-2.191
2024-05-03,NFP,2024-05-03T12:30:00,96.2,CROWDED_LONG,1.752,-1,1.752,-1,-0.372
2024-05-15,CPI,2024-05-15T12:30:00,73.1,NEUTRAL,3.551,-1,3.717,-1,-2.369
2024-06-07,NFP,2024-06-07T12:30:00,73.1,NEUTRAL,3.011,1,3.011,1,2.053
2024-06-12,FOMC,2024-06-12T18:00:00,71.2,NEUTRAL,3.032,1,3.104,1,2.411
2024-06-12,CPI,2024-06-12T12:30:00,71.2,NEUTRAL,3.997,-1,3.999,-1,-1.207
2024-07-05,NFP,2024-07-05T12:30:00,96.2,CROWDED_LONG,2.674,-1,2.674,-1,-0.137
2024-07-11,CPI,2024-07-11T12:30:00,94.2,CROWDED_LONG,9.198,-1,9.198,-1,-5.941
2024-07-31,FOMC,2024-07-31T18:00:00,0.0,CROWDED_SHORT,1.778,-1,1.778,-1,-0.64
2024-08-02,NFP,2024-08-02T12:30:00,0.0,CROWDED_SHORT,2.196,-1,2.196,-1,-1.976
2024-08-14,CPI,2024-08-14T12:30:00,0.0,CROWDED_SHORT,1.866,-1,1.866,1,0.795
2024-09-06,NFP,2024-09-06T12:30:00,0.0,CROWDED_SHORT,3.041,-1,3.041,-1,-0.846
2024-09-11,CPI,2024-09-11T12:30:00,0.0,CROWDED_SHORT,1.791,1,1.791,1,0.941
2024-09-18,FOMC,2024-09-18T18:00:00,0.0,CROWDED_SHORT,3.346,1,3.405,1,1.132
2024-10-04,NFP,2024-10-04T12:30:00,1.9,CROWDED_SHORT,3.169,1,3.434,1,2.932
2024-10-10,CPI,2024-10-10T12:30:00,5.8,CROWDED_SHORT,2.648,-1,2.648,-1,-0.786
2024-11-01,NFP,2024-11-01T12:30:00,23.1,NEUTRAL,2.177,1,2.18,1,0.505
2024-11-07,FOMC,2024-11-07T19:00:00,25.0,NEUTRAL,0.912,1,1.156,1,0.312
2024-11-13,CPI,2024-11-13T13:30:00,28.8,NEUTRAL,1.885,1,3.032,1,1.714
2024-12-06,NFP,2024-12-06T13:30:00,21.2,NEUTRAL,2.086,-1,2.086,-1,-0.867
2024-12-11,CPI,2024-12-11T13:30:00,13.5,CROWDED_SHORT,1.711,-1,1.711,1,0.168
2024-12-18,FOMC,2024-12-18T19:00:00,23.1,NEUTRAL,2.307,1,2.813,1,1.568
2025-01-03,NFP,2025-01-03T13:30:00,30.8,NEUTRAL,0.855,1,1.132,-1,-0.08
2025-01-15,CPI,2025-01-15T13:30:00,38.5,NEUTRAL,1.821,-1,1.821,-1,-0.872
2025-01-29,FOMC,2025-01-29T19:00:00,28.8,NEUTRAL,1.046,1,1.046,1,0.285
2025-02-07,NFP,2025-02-07T13:30:00,17.3,CROWDED_SHORT,1.701,-1,2.216,-1,-1.146
2025-02-12,CPI,2025-02-12T13:30:00,5.8,CROWDED_SHORT,2.294,1,2.618,1,1.527
2025-03-07,NFP,2025-03-07T13:30:00,0.0,CROWDED_SHORT,1.361,-1,1.67,1,0.452
2025-03-12,CPI,2025-03-12T12:30:00,3.8,CROWDED_SHORT,1.611,-1,1.611,-1,-0.569
2025-03-19,FOMC,2025-03-19T18:00:00,0.0,CROWDED_SHORT,2.591,-1,2.976,-1,-2.971
2025-04-04,NFP,2025-04-04T12:30:00,3.8,CROWDED_SHORT,1.323,1,2.651,1,1.574
2025-04-10,CPI,2025-04-10T12:30:00,0.0,CROWDED_SHORT,1.45,-1,1.45,-1,-0.792
2025-05-02,NFP,2025-05-02T12:30:00,3.8,CROWDED_SHORT,2.003,-1,2.207,1,0.688
2025-05-07,FOMC,2025-05-07T18:00:00,5.8,CROWDED_SHORT,1.893,1,1.93,1,0.688
2025-05-13,CPI,2025-05-13T12:30:00,5.8,CROWDED_SHORT,0.954,-1,1.387,-1,-1.064
2025-06-06,NFP,2025-06-06T12:30:00,17.3,CROWDED_SHORT,1.783,1,1.783,1,1.118
2025-06-11,CPI,2025-06-11T12:30:00,25.0,NEUTRAL,2.468,-1,2.468,-1,-1.405
2025-06-18,FOMC,2025-06-18T18:00:00,21.2,NEUTRAL,1.79,1,1.79,1,0.752
